protein	compound	aveaffinty
CHEMBL2001	CHEMBL578899	2.8
CHEMBL2001	CHEMBL592810	3
CHEMBL2001	CHEMBL597980	87
CHEMBL2001	CHEMBL597563	196
CHEMBL2001	CHEMBL589817	15
CHEMBL2001	CHEMBL570423	4.5
CHEMBL2001	CHEMBL589584	3.2
CHEMBL2001	CHEMBL598387	12
CHEMBL2001	CHEMBL589961	7.5
CHEMBL2001	CHEMBL599816	484
CHEMBL2001	CHEMBL605968	492
CHEMBL2001	CHEMBL601699	12
CHEMBL2001	CHEMBL589198	22
CHEMBL2001	CHEMBL601695	0.79
CHEMBL2001	CHEMBL592825	2
CHEMBL2001	CHEMBL2172133	6.5
CHEMBL2001	CHEMBL556239	455
CHEMBL2001	CHEMBL601697	4.3
CHEMBL2001	CHEMBL2172131	42
CHEMBL2001	CHEMBL592577	2.5
CHEMBL2001	CHEMBL606209	120
CHEMBL2001	CHEMBL601488	7.1
CHEMBL2001	CHEMBL590261	5.5
CHEMBL2001	CHEMBL2172151	7.7
CHEMBL2001	CHEMBL601485	1.4
CHEMBL2001	CHEMBL564981	7
CHEMBL2001	CHEMBL567271	2.8
CHEMBL2001	CHEMBL557553	77.85
CHEMBL2001	CHEMBL496229	10000
CHEMBL2001	CHEMBL579081	3.6
CHEMBL2001	CHEMBL603147	2.4
CHEMBL2001	CHEMBL598177	94
CHEMBL2001	CHEMBL551484	15
CHEMBL2001	CHEMBL2172146	5.7
CHEMBL2001	CHEMBL2172145	130
CHEMBL2001	CHEMBL592884	2.1
CHEMBL2001	CHEMBL589335	1.9
CHEMBL2001	CHEMBL589216	12
CHEMBL2001	CHEMBL603151	11
CHEMBL2001	CHEMBL496401	1900
CHEMBL2001	CHEMBL599606	373
CHEMBL2001	CHEMBL499580	3760
CHEMBL2001	CHEMBL2172282	2720
CHEMBL2001	CHEMBL499428	50.7
CHEMBL2001	CHEMBL2172128	5
CHEMBL2001	CHEMBL565409	0.9
CHEMBL2001	CHEMBL601904	4.8
CHEMBL2001	CHEMBL2172132	23
CHEMBL2001	CHEMBL567280	2.1
CHEMBL2001	CHEMBL601903	1.1
CHEMBL2001	CHEMBL591691	89
CHEMBL2001	CHEMBL369928	4.57
