protein	compound	aveaffinty
CHEMBL2581	CHEMBL213301	180
CHEMBL2581	CHEMBL2047908	600
CHEMBL2581	CHEMBL2047900	2480
CHEMBL2581	CHEMBL364664	28
CHEMBL2581	CHEMBL2047893	1390
CHEMBL2581	CHEMBL363783	60
CHEMBL2581	CHEMBL253237	8200
CHEMBL2581	CHEMBL190010	90
CHEMBL2581	CHEMBL1098668	50
CHEMBL2581	CHEMBL584284	11100
CHEMBL2581	CHEMBL2047915	5200
CHEMBL2581	CHEMBL2048056	3710
CHEMBL2581	CHEMBL2048058	1320
CHEMBL2581	CHEMBL2047907	1740
CHEMBL2581	CHEMBL2048038	2220
CHEMBL2581	CHEMBL2048039	1030
CHEMBL2581	CHEMBL2047914	290
CHEMBL2581	CHEMBL436104	70
CHEMBL2581	CHEMBL191129	56
CHEMBL2581	CHEMBL2349503	49700
CHEMBL2581	CHEMBL1076907	0.63
CHEMBL2581	CHEMBL191100	130
CHEMBL2581	CHEMBL2048057	3070
CHEMBL2581	CHEMBL2047909	360
CHEMBL2581	CHEMBL576258	6900
CHEMBL2581	CHEMBL2047904	2000
CHEMBL2581	CHEMBL2047898	1220
CHEMBL2581	CHEMBL566969	95300
CHEMBL2581	CHEMBL566414	23920
CHEMBL2581	CHEMBL190058	60
CHEMBL2581	CHEMBL585128	13370
CHEMBL2581	CHEMBL1076905	59
CHEMBL2581	CHEMBL189901	98
CHEMBL2581	CHEMBL2048063	510
CHEMBL2581	CHEMBL567485	36600
CHEMBL2581	CHEMBL401587	5900
CHEMBL2581	CHEMBL403819	19400
CHEMBL2581	CHEMBL584521	78700
CHEMBL2581	CHEMBL217068	60000
CHEMBL2581	CHEMBL2069612	220
CHEMBL2581	CHEMBL2047905	2300
CHEMBL2581	CHEMBL443909	180
CHEMBL2581	CHEMBL2048046	2400
CHEMBL2581	CHEMBL583178	740
CHEMBL2581	CHEMBL585120	13140
CHEMBL2581	CHEMBL2047913	1140
CHEMBL2581	CHEMBL566548	33000
CHEMBL2581	CHEMBL567653	9200
CHEMBL2581	CHEMBL565996	6280
CHEMBL2581	CHEMBL2048045	690
CHEMBL2581	CHEMBL2047899	1490
CHEMBL2581	CHEMBL2048044	680
CHEMBL2581	CHEMBL2047895	3750
CHEMBL2581	CHEMBL582045	36200
CHEMBL2581	CHEMBL2048042	540
CHEMBL2581	CHEMBL2048043	2000
CHEMBL2581	CHEMBL2048049	2220
CHEMBL2581	CHEMBL2048041	1150
CHEMBL2581	CHEMBL2048047	450
CHEMBL2581	CHEMBL571320	9210
CHEMBL2581	CHEMBL584267	16500
CHEMBL2581	CHEMBL212787	60
CHEMBL2581	CHEMBL2048048	3980
CHEMBL2581	CHEMBL2047897	5530
CHEMBL286	CHEMBL371426	54
CHEMBL286	CHEMBL1276678	0.623333333333333
CHEMBL286	CHEMBL1923110	190
CHEMBL286	CHEMBL1093286	1.245
CHEMBL286	CHEMBL534739	6.5
CHEMBL286	CHEMBL1093288	126.45
CHEMBL286	CHEMBL1093287	9.105
CHEMBL286	CHEMBL550673	14.5
CHEMBL286	CHEMBL505760	67.5
CHEMBL286	CHEMBL2028990	10.1
CHEMBL286	CHEMBL1910546	0.2
CHEMBL286	CHEMBL1923106	675
CHEMBL286	CHEMBL1910545	25.25
CHEMBL286	CHEMBL32002	0.21
CHEMBL286	CHEMBL550066	4.5
CHEMBL286	CHEMBL159462	78
CHEMBL286	CHEMBL159720	180
CHEMBL286	CHEMBL1923107	1650
CHEMBL286	CHEMBL347422	3100
CHEMBL286	CHEMBL1910286	542.666666666667
CHEMBL286	CHEMBL1910318	65.33
CHEMBL286	CHEMBL561141	2.5
CHEMBL286	CHEMBL1231601	0.8
CHEMBL286	CHEMBL1824938	939
CHEMBL286	CHEMBL1824941	1460
CHEMBL286	CHEMBL74875	77
CHEMBL286	CHEMBL1923109	135
CHEMBL286	CHEMBL501912	326.5
CHEMBL286	CHEMBL73712	2.575
CHEMBL286	CHEMBL447651	87.65
CHEMBL286	CHEMBL1092187	3.595
CHEMBL286	CHEMBL76458	1.9
CHEMBL286	CHEMBL2017107	3.51
CHEMBL286	CHEMBL2017106	1.315
CHEMBL286	CHEMBL443469	12.885
CHEMBL286	CHEMBL556343	3.5
CHEMBL286	CHEMBL2017105	248.5
CHEMBL286	CHEMBL562605	10.5
CHEMBL286	CHEMBL264225	2740
CHEMBL286	CHEMBL1276530	1
CHEMBL286	CHEMBL1270375	5
CHEMBL286	CHEMBL306275	1.445
CHEMBL286	CHEMBL23793	2
CHEMBL286	CHEMBL1910292	39.6
CHEMBL286	CHEMBL1957677	2.5
CHEMBL286	CHEMBL449458	121.75
CHEMBL286	CHEMBL2017110	0.685
CHEMBL286	CHEMBL314620	2300
CHEMBL286	CHEMBL316055	3200
CHEMBL286	CHEMBL1910319	2.42
CHEMBL286	CHEMBL1276277	0.5
CHEMBL286	CHEMBL390197	27000
CHEMBL286	CHEMBL306338	0.795
CHEMBL286	CHEMBL299705	165
CHEMBL286	CHEMBL85887	430
CHEMBL286	CHEMBL1910294	24.2
CHEMBL286	CHEMBL1560	1.7
CHEMBL286	CHEMBL504403	67.9
CHEMBL286	CHEMBL1276276	0.06
CHEMBL286	CHEMBL1270276	63
CHEMBL286	CHEMBL2028989	10.9
CHEMBL286	CHEMBL560486	7
CHEMBL286	CHEMBL1761520	2.273
CHEMBL286	CHEMBL1824939	1000
CHEMBL286	CHEMBL306274	2.94
CHEMBL286	CHEMBL50983	155
CHEMBL286	CHEMBL470882	115.7
CHEMBL286	CHEMBL443192	4.525
CHEMBL286	CHEMBL1270275	773
CHEMBL286	CHEMBL1910311	0.225
CHEMBL286	CHEMBL1090982	260
CHEMBL286	CHEMBL584694	53300
CHEMBL286	CHEMBL500205	45.6
CHEMBL286	CHEMBL1092757	650
CHEMBL286	CHEMBL1091040	175.95
CHEMBL286	CHEMBL1091852	210
CHEMBL286	CHEMBL558212	2.5
CHEMBL286	CHEMBL1235623	2
CHEMBL286	CHEMBL305865	33.8
CHEMBL286	CHEMBL1909649	4.2
CHEMBL286	CHEMBL507560	30.415
CHEMBL286	CHEMBL576258	20800
CHEMBL286	CHEMBL1276274	1.4
CHEMBL286	CHEMBL1276714	61
CHEMBL286	CHEMBL239496	7.05
CHEMBL286	CHEMBL1910309	2.675
CHEMBL286	CHEMBL550412	13.5
CHEMBL286	CHEMBL2017102	0.435
CHEMBL286	CHEMBL501586	139.8
CHEMBL286	CHEMBL1093285	3.03
CHEMBL286	CHEMBL2024249	23.8233333333333
CHEMBL286	CHEMBL2024248	0.486666666666667
CHEMBL286	CHEMBL94762	0.385
CHEMBL286	CHEMBL1910308	0.315
CHEMBL286	CHEMBL123069	300
CHEMBL286	CHEMBL557064	2.5
CHEMBL286	CHEMBL291784	9600
CHEMBL286	CHEMBL390196	4.4835
CHEMBL286	CHEMBL504443	4.65
CHEMBL286	CHEMBL1230745	0.2
CHEMBL286	CHEMBL1276281	305
CHEMBL286	CHEMBL566012	42300
CHEMBL286	CHEMBL1093934	2.355
CHEMBL286	CHEMBL347421	1300
CHEMBL286	CHEMBL1824940	120
CHEMBL286	CHEMBL1824942	246
CHEMBL286	CHEMBL330474	0.255
CHEMBL286	CHEMBL1910305	0.95
CHEMBL286	CHEMBL78780	800
CHEMBL286	CHEMBL1910304	1.44
CHEMBL286	CHEMBL561407	8
CHEMBL286	CHEMBL1910310	5.68
CHEMBL286	CHEMBL1783189	37
CHEMBL286	CHEMBL496821	79
CHEMBL286	CHEMBL1923119	1.44
CHEMBL286	CHEMBL2017111	0.41
CHEMBL286	CHEMBL2017112	0.885
CHEMBL286	CHEMBL1276279	0.68
CHEMBL286	CHEMBL413256	50000
CHEMBL286	CHEMBL507083	230.6
CHEMBL286	CHEMBL1923112	26.05
CHEMBL286	CHEMBL539164	66
CHEMBL286	CHEMBL1276280	0.18
CHEMBL286	CHEMBL1923111	19
CHEMBL286	CHEMBL560682	670
CHEMBL286	CHEMBL150414	15000
CHEMBL286	CHEMBL564396	1000
CHEMBL286	CHEMBL1795902	92.5
CHEMBL286	CHEMBL1092186	14.7
CHEMBL286	CHEMBL350425	78
CHEMBL286	CHEMBL567430	2040
CHEMBL286	CHEMBL1235625	5000
CHEMBL286	CHEMBL94827	0.15
CHEMBL286	CHEMBL508158	65.5
CHEMBL286	CHEMBL557063	3.5
CHEMBL286	CHEMBL2204741	2.5
CHEMBL286	CHEMBL1910306	1.25
CHEMBL286	CHEMBL1910302	2.22
CHEMBL286	CHEMBL1923131	0.275
CHEMBL286	CHEMBL230153	4000
