protein	compound	aveaffinty
CHEMBL1978	CHEMBL1083653	11.725
CHEMBL1978	CHEMBL91101	6309.57
CHEMBL1978	CHEMBL328217	8912.51
CHEMBL1978	CHEMBL194472	129
CHEMBL1978	CHEMBL224790	5.75
CHEMBL1978	CHEMBL2058266	528
CHEMBL1978	CHEMBL1085936	5.59
CHEMBL1978	CHEMBL1097371	2
CHEMBL1978	CHEMBL281871	37
CHEMBL1978	CHEMBL25700	62
CHEMBL1978	CHEMBL349300	895
CHEMBL1978	CHEMBL294878	2
CHEMBL1978	CHEMBL24580	21
CHEMBL1978	CHEMBL1629800	137.5
CHEMBL1978	CHEMBL419131	7951.225
CHEMBL1978	CHEMBL197451	1255
CHEMBL1978	CHEMBL65328	590
CHEMBL1978	CHEMBL162431	1840
CHEMBL1978	CHEMBL163922	3715.35
CHEMBL1978	CHEMBL158326	45000
CHEMBL1978	CHEMBL1783178	215.333333333333
CHEMBL1978	CHEMBL439950	4065
CHEMBL1978	CHEMBL457680	400
CHEMBL1978	CHEMBL224789	57.54
CHEMBL1978	CHEMBL184051	2386.66666666667
CHEMBL1978	CHEMBL162549	190
CHEMBL1978	CHEMBL223555	95.5
CHEMBL1978	CHEMBL25523	10
CHEMBL1978	CHEMBL442373	2296.95666666667
CHEMBL1978	CHEMBL374934	47.86
CHEMBL1978	CHEMBL1083353	3.98
CHEMBL1978	CHEMBL377626	1800
CHEMBL1978	CHEMBL229635	3670
CHEMBL1978	CHEMBL25473	31
CHEMBL1978	CHEMBL24387	22
CHEMBL1978	CHEMBL117	1300.5
CHEMBL1978	CHEMBL1172400	2940
CHEMBL1978	CHEMBL1099308	7
CHEMBL1978	CHEMBL457679	100
CHEMBL1978	CHEMBL442542	443.5
CHEMBL1978	CHEMBL195996	2821
CHEMBL1978	CHEMBL1096024	3.5
CHEMBL1978	CHEMBL1783176	36
CHEMBL1978	CHEMBL24946	12
CHEMBL1978	CHEMBL1097980	8.8
CHEMBL1978	CHEMBL223554	58.88
CHEMBL1978	CHEMBL2011190	61000
CHEMBL1978	CHEMBL295698	6249.811
CHEMBL1978	CHEMBL158325	97000
CHEMBL1978	CHEMBL282673	4.6
CHEMBL1978	CHEMBL56059	2400
CHEMBL1978	CHEMBL161530	2096.43333333333
CHEMBL1978	CHEMBL266532	650
CHEMBL1978	CHEMBL91	600
CHEMBL1978	CHEMBL388374	4750
CHEMBL1978	CHEMBL28	5450
CHEMBL1978	CHEMBL2058268	1150
CHEMBL1978	CHEMBL1172402	5000
CHEMBL1978	CHEMBL1162951	12100
CHEMBL1978	CHEMBL223452	288.4
CHEMBL1978	CHEMBL1171628	7470
CHEMBL1978	CHEMBL488	9050.90909090909
CHEMBL1978	CHEMBL522917	48.99
CHEMBL1978	CHEMBL1077603	141.5
CHEMBL1978	CHEMBL132530	263.733333333333
CHEMBL1978	CHEMBL1172396	3210
CHEMBL1978	CHEMBL214932	310
CHEMBL1978	CHEMBL2011189	29000
CHEMBL1978	CHEMBL25695	6.7
CHEMBL1978	CHEMBL284238	11
CHEMBL1978	CHEMBL24897	63
CHEMBL1978	CHEMBL1688918	4010
CHEMBL1978	CHEMBL1097764	55
CHEMBL1978	CHEMBL440691	1235
CHEMBL1978	CHEMBL1078534	444
CHEMBL1978	CHEMBL104	1.8
CHEMBL1978	CHEMBL8333	339
CHEMBL1978	CHEMBL9352	5744.3
CHEMBL1978	CHEMBL158397	13000
CHEMBL1978	CHEMBL229790	25140
CHEMBL1978	CHEMBL376786	289.2
CHEMBL1978	CHEMBL41517	415
CHEMBL1978	CHEMBL194641	137.5
CHEMBL1978	CHEMBL388187	43.65
CHEMBL1978	CHEMBL457686	3400
CHEMBL1978	CHEMBL1097763	17.2
CHEMBL1978	CHEMBL376039	10000
CHEMBL1978	CHEMBL375043	10.96
CHEMBL1978	CHEMBL41033	1936
CHEMBL1978	CHEMBL198818	408.5
CHEMBL1978	CHEMBL131921	14502.55
CHEMBL1978	CHEMBL91992	8709.64
CHEMBL1978	CHEMBL8315	757
CHEMBL1978	CHEMBL451201	630.48
CHEMBL1978	CHEMBL26065	21877.62
CHEMBL1978	CHEMBL25059	1.4
CHEMBL1978	CHEMBL189472	1940
CHEMBL1978	CHEMBL224462	93.33
CHEMBL1978	CHEMBL2336861	21.39
CHEMBL1978	CHEMBL1399	92.8242857142857
CHEMBL1978	CHEMBL1098382	1
CHEMBL1978	CHEMBL225079	109.825
CHEMBL1978	CHEMBL372334	91.5
CHEMBL1978	CHEMBL293122	500
CHEMBL1978	CHEMBL2011188	5100
CHEMBL1978	CHEMBL9400	94
CHEMBL1978	CHEMBL196328	9107
CHEMBL1978	CHEMBL381014	970
CHEMBL1978	CHEMBL25588	5.6
CHEMBL1978	CHEMBL176452	850
CHEMBL1978	CHEMBL225550	61.66
CHEMBL1978	CHEMBL1165711	41000
CHEMBL1978	CHEMBL1444	12.3707692307692
CHEMBL1978	CHEMBL92488	691.83
CHEMBL1978	CHEMBL158601	400
CHEMBL1978	CHEMBL24021	4.7
CHEMBL1978	CHEMBL95109	186.4
CHEMBL1978	CHEMBL348913	14.3
CHEMBL1978	CHEMBL2113619	1934.5
CHEMBL1978	CHEMBL113121	106.5
CHEMBL1978	CHEMBL1171091	8510
CHEMBL1978	CHEMBL1688915	67
CHEMBL1978	CHEMBL388959	12022.64
CHEMBL1978	CHEMBL9298	35.6607142857143
CHEMBL1978	CHEMBL363493	430
CHEMBL1978	CHEMBL457678	100
CHEMBL1978	CHEMBL481092	3.2
CHEMBL1978	CHEMBL212168	470
CHEMBL1978	CHEMBL8646	571
CHEMBL1978	CHEMBL349822	555.74
CHEMBL1978	CHEMBL283196	1035
CHEMBL1978	CHEMBL476143	1060
CHEMBL1978	CHEMBL2011180	260
CHEMBL1978	CHEMBL2011177	2400
CHEMBL1978	CHEMBL1171680	670
