protein	compound	aveaffinty
CHEMBL205	CHEMBL58323	331
CHEMBL205	CHEMBL578167	72300
CHEMBL205	CHEMBL1164878	87.2
CHEMBL205	CHEMBL1644699	40000
CHEMBL205	CHEMBL2333404	9.1
CHEMBL205	CHEMBL253691	5636
CHEMBL205	CHEMBL2048926	87.5
CHEMBL205	CHEMBL865	15872.3333333333
CHEMBL205	CHEMBL568417	3800
CHEMBL205	CHEMBL418037	4975
CHEMBL205	CHEMBL2047827	174.545
CHEMBL205	CHEMBL145781	50300
CHEMBL205	CHEMBL182276	8.3
CHEMBL205	CHEMBL2333414	91
CHEMBL205	CHEMBL2333419	11
CHEMBL205	CHEMBL1165072	45.8
CHEMBL205	CHEMBL165878	10212.5
CHEMBL205	CHEMBL1956770	109
CHEMBL205	CHEMBL215276	536
CHEMBL205	CHEMBL2333977	4995
CHEMBL205	CHEMBL2333970	75
CHEMBL205	CHEMBL1272297	800
CHEMBL205	CHEMBL195051	9100
CHEMBL205	CHEMBL367378	11
CHEMBL205	CHEMBL508732	32770
CHEMBL205	CHEMBL2335233	1920
CHEMBL205	CHEMBL1813209	561
CHEMBL205	CHEMBL1813210	412
CHEMBL205	CHEMBL2333585	580
CHEMBL205	CHEMBL511239	0.96
CHEMBL205	CHEMBL1094856	73100
CHEMBL205	CHEMBL1813211	119
CHEMBL205	CHEMBL2333964	2340
CHEMBL205	CHEMBL467897	1.01
CHEMBL205	CHEMBL1836632	59.5
CHEMBL205	CHEMBL1836631	37.9
CHEMBL205	CHEMBL268177	900
CHEMBL205	CHEMBL303601	138
CHEMBL205	CHEMBL479638	3320
CHEMBL205	CHEMBL1836625	10.6
CHEMBL205	CHEMBL1214194	11200
CHEMBL205	CHEMBL1836628	44.5
CHEMBL205	CHEMBL451332	495
CHEMBL205	CHEMBL328560	9
CHEMBL205	CHEMBL1214248	11300
CHEMBL205	CHEMBL394749	13460
CHEMBL205	CHEMBL235466	3830
CHEMBL205	CHEMBL568516	29000
CHEMBL205	CHEMBL2047826	143.59
CHEMBL205	CHEMBL264966	50000
CHEMBL205	CHEMBL1688314	93
CHEMBL205	CHEMBL1688315	104
CHEMBL205	CHEMBL1956774	7.4
CHEMBL205	CHEMBL168778	1283
CHEMBL205	CHEMBL482149	820
CHEMBL205	CHEMBL482150	940
CHEMBL205	CHEMBL1164572	94.5
CHEMBL205	CHEMBL382111	8800
CHEMBL205	CHEMBL1165321	93.8
CHEMBL205	CHEMBL1271529	4200
CHEMBL205	CHEMBL2010990	59
CHEMBL205	CHEMBL1271478	400
CHEMBL205	CHEMBL449527	970
CHEMBL205	CHEMBL204740	10
CHEMBL205	CHEMBL180177	7
CHEMBL205	CHEMBL395981	9
CHEMBL205	CHEMBL195370	89.6
CHEMBL205	CHEMBL607813	2030
CHEMBL205	CHEMBL467898	0.97
CHEMBL205	CHEMBL371870	156
CHEMBL205	CHEMBL1946183	420
CHEMBL205	CHEMBL88519	9
CHEMBL205	CHEMBL35118	9
CHEMBL205	CHEMBL184107	27
CHEMBL205	CHEMBL13646	3
CHEMBL205	CHEMBL90382	3
CHEMBL205	CHEMBL1084951	28.6
CHEMBL205	CHEMBL1082898	33.8
CHEMBL205	CHEMBL2332768	28.2
CHEMBL205	CHEMBL25101	1130
CHEMBL205	CHEMBL1807496	81
CHEMBL205	CHEMBL436936	42
CHEMBL205	CHEMBL195035	7.4
CHEMBL205	CHEMBL12567	49500
CHEMBL205	CHEMBL1688310	11.3
CHEMBL205	CHEMBL1688311	754
CHEMBL205	CHEMBL1092027	58.8
CHEMBL205	CHEMBL221802	5
CHEMBL205	CHEMBL1817902	336
CHEMBL205	CHEMBL453731	2610
CHEMBL205	CHEMBL168514	4382.16666666667
CHEMBL205	CHEMBL443769	540
CHEMBL205	CHEMBL511186	100
CHEMBL205	CHEMBL325372	3400
CHEMBL205	CHEMBL1822702	955
CHEMBL205	CHEMBL194016	10200
CHEMBL205	CHEMBL1094530	86300
CHEMBL205	CHEMBL168526	120
CHEMBL205	CHEMBL229954	60300
CHEMBL205	CHEMBL1738792	41
CHEMBL205	CHEMBL1801472	9660
CHEMBL205	CHEMBL360254	48
CHEMBL205	CHEMBL1836401	4890
CHEMBL205	CHEMBL593276	2290
CHEMBL205	CHEMBL1088998	5
CHEMBL205	CHEMBL395734	8
CHEMBL205	CHEMBL1094857	65100
CHEMBL205	CHEMBL1085238	31
CHEMBL205	CHEMBL232616	62
CHEMBL205	CHEMBL424	7110
CHEMBL205	CHEMBL537	90
CHEMBL205	CHEMBL569168	4100
CHEMBL205	CHEMBL1165822	46.1
CHEMBL205	CHEMBL256303	33
CHEMBL205	CHEMBL477748	1130
CHEMBL205	CHEMBL181357	380
CHEMBL205	CHEMBL2333403	1.3
CHEMBL205	CHEMBL2333816	3.3
CHEMBL205	CHEMBL2113026	14.7
CHEMBL205	CHEMBL1164504	65
CHEMBL205	CHEMBL2048918	2150
CHEMBL205	CHEMBL386049	16
CHEMBL205	CHEMBL2047820	60.78
CHEMBL205	CHEMBL2047823	451.84
CHEMBL205	CHEMBL2333814	67
CHEMBL205	CHEMBL26590	437.5
CHEMBL205	CHEMBL1165005	56.9
CHEMBL205	CHEMBL1956765	9.3
CHEMBL205	CHEMBL1956773	9
CHEMBL205	CHEMBL1163599	94.4
CHEMBL205	CHEMBL2333973	85.3
CHEMBL205	CHEMBL2333974	799.1
CHEMBL205	CHEMBL1165071	80.4
CHEMBL205	CHEMBL1272243	600
CHEMBL205	CHEMBL440031	9300
CHEMBL205	CHEMBL1271477	700
CHEMBL205	CHEMBL6784	1078.33333333333
CHEMBL205	CHEMBL1801471	8600
CHEMBL205	CHEMBL1813206	376
CHEMBL205	CHEMBL182634	0.9
CHEMBL205	CHEMBL2023728	0.92
CHEMBL205	CHEMBL1956753	9.8
CHEMBL205	CHEMBL2172748	8820
CHEMBL205	CHEMBL226439	91
CHEMBL205	CHEMBL54909	94300
CHEMBL205	CHEMBL75620	84
CHEMBL205	CHEMBL1995684	63400
CHEMBL205	CHEMBL1271638	60
CHEMBL205	CHEMBL1164744	16835
CHEMBL205	CHEMBL1163554	10315
CHEMBL205	CHEMBL166340	16
