protein	compound	aveaffinty
CHEMBL1836	CHEMBL1669007	19.75
CHEMBL1836	CHEMBL218179	960
CHEMBL1836	CHEMBL220820	440
CHEMBL1836	CHEMBL270397	175.215
CHEMBL1836	CHEMBL222677	0.94
CHEMBL1836	CHEMBL224970	6.9
CHEMBL1836	CHEMBL218071	890
CHEMBL1836	CHEMBL219590	6200
CHEMBL1836	CHEMBL222715	2.45
CHEMBL1836	CHEMBL217991	1100
CHEMBL1836	CHEMBL248678	117
CHEMBL1836	CHEMBL1645148	0.78
CHEMBL1836	CHEMBL249954	2000
CHEMBL1836	CHEMBL479439	20800
CHEMBL1836	CHEMBL401795	470.5
CHEMBL1836	CHEMBL376053	2000
CHEMBL1836	CHEMBL272276	0.05
CHEMBL1836	CHEMBL258332	0.02
CHEMBL1836	CHEMBL217988	620
CHEMBL1836	CHEMBL218280	840
CHEMBL1836	CHEMBL1645151	7.5
CHEMBL1836	CHEMBL1645133	0.44
CHEMBL1836	CHEMBL1645138	0.4
CHEMBL1836	CHEMBL591431	0.87
CHEMBL1836	CHEMBL1669004	12.1
CHEMBL1836	CHEMBL218626	610
CHEMBL1836	CHEMBL1669002	189.15
CHEMBL1836	CHEMBL220821	1000
CHEMBL1836	CHEMBL1645146	76
CHEMBL1836	CHEMBL403630	15.88
CHEMBL1836	CHEMBL249953	13
CHEMBL1836	CHEMBL1645134	0.34
CHEMBL1836	CHEMBL218178	960
CHEMBL1836	CHEMBL400404	24000
CHEMBL1836	CHEMBL373558	7
CHEMBL1836	CHEMBL223744	18
CHEMBL1836	CHEMBL479263	6200
CHEMBL1836	CHEMBL220802	1300
CHEMBL1836	CHEMBL1645150	30
CHEMBL1836	CHEMBL1628573	3.16
CHEMBL1836	CHEMBL599262	2.9
CHEMBL1836	CHEMBL269987	28.105
CHEMBL1836	CHEMBL603462	0.75
CHEMBL1836	CHEMBL604546	3.1
CHEMBL1836	CHEMBL376347	17
CHEMBL1836	CHEMBL402960	17.24
CHEMBL1836	CHEMBL249952	134
CHEMBL1836	CHEMBL42027	4.5
CHEMBL1836	CHEMBL400447	44
CHEMBL1836	CHEMBL1645145	30
CHEMBL1836	CHEMBL1179743	3.16
CHEMBL1836	CHEMBL1628698	15.85
CHEMBL1836	CHEMBL376282	4400
CHEMBL1836	CHEMBL605330	2.5
CHEMBL1836	CHEMBL1085081	2.7
CHEMBL1836	CHEMBL398947	45
CHEMBL1836	CHEMBL599051	6.4
CHEMBL1836	CHEMBL598198	0.63
CHEMBL1836	CHEMBL585581	8178
CHEMBL1836	CHEMBL599052	1.3
CHEMBL1836	CHEMBL467632	6498
CHEMBL1836	CHEMBL1628651	24
CHEMBL1836	CHEMBL1645137	0.37
CHEMBL1836	CHEMBL1628527	0.631
CHEMBL1836	CHEMBL1645144	2.3
CHEMBL1836	CHEMBL222782	1
CHEMBL1836	CHEMBL222834	0.7
CHEMBL1836	CHEMBL248679	29
CHEMBL1836	CHEMBL255632	4.2
CHEMBL1836	CHEMBL565799	3647
CHEMBL1836	CHEMBL603690	1.4
CHEMBL1836	CHEMBL376063	530
CHEMBL1836	CHEMBL1645143	54
CHEMBL1836	CHEMBL223151	3.8
CHEMBL1836	CHEMBL1645141	0.28
CHEMBL1836	CHEMBL1645139	1.5
CHEMBL1836	CHEMBL1645135	0.44
CHEMBL1836	CHEMBL1645142	0.33
CHEMBL1836	CHEMBL1645140	3.1
CHEMBL1836	CHEMBL1645136	1.8
CHEMBL1881	CHEMBL599051	16
CHEMBL1881	CHEMBL565992	4832
CHEMBL1881	CHEMBL1628651	22
CHEMBL1881	CHEMBL271488	25000
CHEMBL1881	CHEMBL222834	2500
CHEMBL1881	CHEMBL597997	5900
CHEMBL1881	CHEMBL2164609	10810
CHEMBL1881	CHEMBL604546	467
CHEMBL1881	CHEMBL601299	43
CHEMBL1881	CHEMBL599262	202
CHEMBL1881	CHEMBL1084009	8000
CHEMBL1881	CHEMBL603690	1194
CHEMBL1881	CHEMBL599052	746
CHEMBL1881	CHEMBL257658	141
CHEMBL1881	CHEMBL218228	6500
CHEMBL1881	CHEMBL222677	5100
CHEMBL1881	CHEMBL384878	8000
CHEMBL1881	CHEMBL385396	8000
CHEMBL1881	CHEMBL1081186	19800
CHEMBL1881	CHEMBL605330	800
CHEMBL1881	CHEMBL565799	32921
CHEMBL1881	CHEMBL257217	54
CHEMBL1881	CHEMBL385955	5557.5
CHEMBL1881	CHEMBL591431	384
CHEMBL1881	CHEMBL424975	380
