protein	compound	aveaffinty
CHEMBL3227	CHEMBL1290670	300
CHEMBL3227	CHEMBL1808866	48.5
CHEMBL3227	CHEMBL1290442	10300
CHEMBL3227	CHEMBL2069397	9.75
CHEMBL3227	CHEMBL1808873	16
CHEMBL3227	CHEMBL1290441	7100
CHEMBL3227	CHEMBL1682801	113.1
CHEMBL3227	CHEMBL1779877	984.5
CHEMBL3227	CHEMBL1682836	831.8
CHEMBL3227	CHEMBL205391	2100
CHEMBL3227	CHEMBL1258658	2600
CHEMBL3227	CHEMBL1290669	1000
CHEMBL3227	CHEMBL1779843	15000
CHEMBL3227	CHEMBL2069398	8.8
CHEMBL3227	CHEMBL1808870	307
CHEMBL3227	CHEMBL207021	3900
CHEMBL3227	CHEMBL1682831	460.6
CHEMBL3227	CHEMBL1808883	13000
CHEMBL3227	CHEMBL1258436	1200
CHEMBL3227	CHEMBL1779857	1310.5
CHEMBL3227	CHEMBL1682803	401.2
CHEMBL3227	CHEMBL1808894	480
CHEMBL3227	CHEMBL1290786	270
CHEMBL3227	CHEMBL1289114	600
CHEMBL3227	CHEMBL1290331	290
CHEMBL3227	CHEMBL190326	19
CHEMBL3227	CHEMBL202307	1
CHEMBL3227	CHEMBL1808886	4240
CHEMBL3227	CHEMBL361478	75
CHEMBL3227	CHEMBL1779858	993
CHEMBL3227	CHEMBL362969	745
CHEMBL3227	CHEMBL1682798	29.5
CHEMBL3227	CHEMBL66654	36.31
CHEMBL3227	CHEMBL551958	1706.33333333333
CHEMBL3227	CHEMBL1779855	3212
CHEMBL3227	CHEMBL1779889	7998.5
CHEMBL3227	CHEMBL2069378	1200
CHEMBL3227	CHEMBL1290108	310
CHEMBL3227	CHEMBL1808882	4450
CHEMBL3227	CHEMBL1808885	10
CHEMBL3227	CHEMBL1290218	2800
CHEMBL3227	CHEMBL505105	30.7
CHEMBL3227	CHEMBL1290548	6700
CHEMBL3227	CHEMBL395882	2200
CHEMBL3227	CHEMBL395644	280
CHEMBL3227	CHEMBL227853	5.25
CHEMBL3227	CHEMBL2069385	2300
CHEMBL3227	CHEMBL1289466	390
CHEMBL3227	CHEMBL1257156	290
CHEMBL3227	CHEMBL188911	200
CHEMBL3227	CHEMBL1808877	200
CHEMBL3227	CHEMBL207703	1
